"How to bake a cake", "<INTENT>105 1</INTENT><PARAMS>query=How to bake a cake</PARAMS><TEXT>Here are some recipes and tutorials for baking cakes.</TEXT>", "InterntSearchProtocol product"
"What is the capital of France?", "<INTENT>105 1</INTENT><PARAMS>query=What is the capital of France?</PARAMS><TEXT>The capital of France is Paris.</TEXT>", "InterntSearchProtocol product"
"How to tie a tie", "<INTENT>105 1</INTENT><PARAMS>query=How to tie a tie</PARAMS><TEXT>Here's a step-by-step guide on tying a tie.</TEXT>", "InterntSearchProtocol product"
"Nature wallpapers", "<INTENT>105 3</INTENT><PARAMS>query=Nature wallpapers</PARAMS><TEXT>Here are some beautiful nature wallpapers for you.</TEXT>", "InterntSearchProtocol product"
"Latest smartphones on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Latest smartphones on Amazon</PARAMS><TEXT>Here are some of the latest smartphones available on Amazon.</TEXT>", "InterntSearchProtocol product"
"How to make pizza at home", "<INTENT>105 1</INTENT><PARAMS>query=How to make pizza at home</PARAMS><TEXT>Here's a pizza recipe you can try at home.</TEXT>", "InterntSearchProtocol product"
"Cute kitten images", "<INTENT>105 3</INTENT><PARAMS>query=Cute kitten images</PARAMS><TEXT>Here are some adorable kitten images for you to enjoy.</TEXT>", "InterntSearchProtocol product"
"Best laptops under $1000 on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best laptops under $1000 on Amazon</PARAMS><TEXT>Here are some top-rated laptops under $1000 available on Amazon.</TEXT>", "InterntSearchProtocol product"
"How to learn Spanish", "<INTENT>105 1</INTENT><PARAMS>query=How to learn Spanish</PARAMS><TEXT>Here are some tips and resources for learning Spanish.</TEXT>", "InterntSearchProtocol product"
"Beach sunset images", "<INTENT>105 3</INTENT><PARAMS>query=Beach sunset images</PARAMS><TEXT>Here are some breathtaking beach sunset images.</TEXT>", "InterntSearchProtocol product"
"Best books to read on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best books to read on Amazon</PARAMS><TEXT>Here are some highly recommended books available on Amazon.</TEXT>", "InterntSearchProtocol product"
"Healthy breakfast recipes", "<INTENT>105 1</INTENT><PARAMS>query=Healthy breakfast recipes</PARAMS><TEXT>Here are some nutritious breakfast recipes to start your day.</TEXT>", "InterntSearchProtocol product"
"Mountain landscape images", "<INTENT>105 3</INTENT><PARAMS>query=Mountain landscape images</PARAMS><TEXT>Here are some stunning mountain landscape images.</TEXT>", "InterntSearchProtocol product"
"Best headphones under $100 on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best headphones under $100 on Amazon</PARAMS><TEXT>Here are some top-rated headphones under $100 available on Amazon.</TEXT>", "InterntSearchProtocol product"
"How to meditate for beginners", "<INTENT>105 1</INTENT><PARAMS>query=How to meditate for beginners</PARAMS><TEXT>Here's a beginner's guide to meditation.</TEXT>", "InterntSearchProtocol product"
"Fall foliage images", "<INTENT>105 3</INTENT><PARAMS>query=Fall foliage images</PARAMS><TEXT>Here are some beautiful fall foliage images.</TEXT>", "InterntSearchProtocol product"
"Best-selling video games on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best-selling video games on Amazon</PARAMS><TEXT>Here are some of the best-selling video games available on Amazon.</TEXT>", "InterntSearchProtocol product"
"How to start a blog", "<INTENT>105 1</INTENT><PARAMS>query=How to start a blog</PARAMS><TEXT>Here are some steps to help you start your own blog.</TEXT>", "InterntSearchProtocol product"
"Starry night sky images", "<INTENT>105 3</INTENT><PARAMS>query=Starry night sky images</PARAMS><TEXT>Here are some mesmerizing starry night sky images.</TEXT>", "InterntSearchProtocol product"
"Best-selling novels on Amazon", "<INTENT>105 4</INTENT><PARAMS>query=Best-selling novels on Amazon</PARAMS><TEXT>Here are some of the best-selling novels available on Amazon.</TEXT>", "InterntSearchProtocol product"